epoch,step,train_loss,train_acc,train_iou,train_dice
1,100,0.355416,0.971564,0.757240,0.837642
1,200,0.252193,0.996499,0.902572,0.947843
1,300,0.210689,0.997306,0.924617,0.960162
1,400,0.177288,0.997951,0.941050,0.969251
1,500,0.151493,0.998025,0.943699,0.970497
1,600,0.129103,0.998426,0.952794,0.975630
1,700,0.110530,0.998645,0.959729,0.979286
1,800,0.095748,0.998621,0.959002,0.978928
1,900,0.083393,0.998705,0.961934,0.980362
1,1000,0.073128,0.998690,0.960689,0.979804
1,1100,0.063557,0.998934,0.967634,0.983510
1,1200,0.056950,0.998671,0.961466,0.980198
1,1300,0.051754,0.998367,0.956431,0.976910
1,1400,0.044766,0.998893,0.966533,0.982914
1,1500,0.039797,0.998960,0.968851,0.984142
1,1600,0.035837,0.998938,0.968651,0.984019
1,1700,0.033637,0.998602,0.960226,0.979221
1,1800,0.029828,0.998841,0.966345,0.982602
1,1900,0.027499,0.998709,0.963125,0.980800
1,2000,0.024333,0.999002,0.969811,0.984633
1,2100,0.022169,0.999014,0.970605,0.985042
1,2200,0.020327,0.999039,0.971431,0.985448
1,2300,0.018596,0.999072,0.972332,0.985944
1,2400,0.017608,0.998949,0.969188,0.984116
1,2500,0.016446,0.998928,0.968616,0.983901
1,2600,0.015268,0.998919,0.967772,0.983520
1,2700,0.013645,0.999092,0.972483,0.986024
1,2800,0.012934,0.999021,0.971162,0.985285
1,2900,0.011857,0.999109,0.972631,0.986094
1,3000,0.010953,0.999165,0.974181,0.986896
1,3100,0.010765,0.998973,0.970686,0.985003
1,3200,0.009920,0.999068,0.971985,0.985728
1,3300,0.009090,0.999147,0.974549,0.987087
1,3400,0.008485,0.999182,0.975073,0.987354
1,3500,0.007979,0.999187,0.975405,0.987526
1,3600,0.007837,0.999099,0.972917,0.986225
1,3700,0.007221,0.999167,0.974516,0.987061
1,3800,0.006789,0.999192,0.975767,0.987710
1,3900,0.006642,0.999135,0.973762,0.986641
1,4000,0.006170,0.999180,0.975241,0.987443
1,4100,0.005739,0.999245,0.976907,0.988299
1,4200,0.005589,0.999196,0.975712,0.987658
1,4300,0.005279,0.999222,0.976499,0.988086
1,4400,0.005185,0.999171,0.975304,0.987466
1,4500,0.004793,0.999245,0.976870,0.988280
1,4600,0.004590,0.999240,0.977282,0.988490
1,4700,0.004413,0.999239,0.977227,0.988462
1,4800,0.004382,0.999204,0.975952,0.987760
1,4900,0.004262,0.999183,0.975601,0.987615
1,5000,0.004236,0.999153,0.974561,0.987058
1,5100,0.005119,0.998836,0.967367,0.983144
1,5200,0.004138,0.999093,0.973331,0.986434
1,5300,0.005291,0.998716,0.966252,0.982344
1,5400,0.003758,0.999142,0.974220,0.986910
1,5500,0.003676,0.999149,0.975212,0.987377
1,5600,0.003291,0.999241,0.976579,0.988124
1,5700,0.004639,0.998907,0.969355,0.984001
1,5800,0.003347,0.999158,0.974656,0.987130
1,5900,0.003393,0.999143,0.974793,0.987145
1,6000,0.003037,0.999221,0.976592,0.988130
1,6100,0.002997,0.999205,0.976059,0.987837
1,6200,0.002838,0.999240,0.977219,0.988457
1,6300,0.002997,0.999176,0.976009,0.987815
1,6400,0.003426,0.999047,0.972056,0.985638
1,6500,0.002869,0.999163,0.975079,0.987311
1,6600,0.002648,0.999229,0.976760,0.988219
1,6700,0.002567,0.999250,0.977451,0.988570
1,6800,0.002433,0.999270,0.978225,0.988972
1,6900,0.002318,0.999296,0.978594,0.989165
1,7000,0.002269,0.999299,0.978661,0.989198
1,7100,0.002232,0.999297,0.978983,0.989366
1,7200,0.002215,0.999294,0.978758,0.989248
1,7300,0.002180,0.999297,0.978911,0.989325
1,7400,0.002110,0.999308,0.978845,0.989291
1,7500,0.001985,0.999350,0.980203,0.989989
1,7600,0.002020,0.999323,0.979383,0.989569
1,7700,0.002044,0.999310,0.979258,0.989499
1,7800,0.002156,0.999260,0.977684,0.988692
1,7900,0.002007,0.999305,0.979267,0.989509
1,8000,0.002070,0.999270,0.977992,0.988848
1,8100,0.001902,0.999327,0.979499,0.989627
1,8200,0.002318,0.999195,0.976415,0.987965
1,8300,0.002465,0.999090,0.973185,0.986272
1,8400,0.002633,0.999068,0.972701,0.985944
1,8500,0.002784,0.999057,0.972424,0.985833
1,8600,0.002164,0.999222,0.976505,0.988069
1,8700,0.001960,0.999279,0.978338,0.989027
1,8800,0.001827,0.999321,0.979373,0.989562
